,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
31,British Virgin Islands,1/11/2022,4764,557,40,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,30423,207.973,NA
32,Brunei,2/20/2022,34979,7380,109,11,1.69,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,441532,81.347,71809.251
33,Bulgaria,1/25/2022,903676,12399,32869,73,1.17,NA,NA,NA,NA,30627,0.2887,3.5,tests performed,4114896,NA,1980511,580808,10657,59.67,NA,28.72,8.42,6896655,65.18,18563.307
34,Burkina Faso,1/4/2022,18637,1005,333,15,0.34,NA,NA,NA,NA,NA,NA,NA,,1192663,1108731,725952,NA,NA,5.55,5.16,3.38,NA,21497097,70.151,1703.102
35,Burundi,1/4/2022,32076,4710,38,0,0.76,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,12255429,423.062,702.225
36,Cambodia,6/30/2021,50385,1130,602,27,1.11,6278,1358254,80.15,0.37,6117,0.1325,7.5,tests performed,7251656,4202751,3048905,NA,158173,42.79,24.8,17.99,NA,16946446,90.672,3645.07
37,Cameroon,4/1/2021,57337,9668,851,130,0.42,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,27224262,50.885,3364.926
38,Canada,1/10/2022,2613071,58934,31497,157,1.1,345284,54289765,1426.129,9.07,214472,0.1932,5.2,tests performed,71716169,31912898,29551323,10251948,400882,188.39,83.83,77.63,26.93,38067913,4.037,44017.591
39,Cape Verde,1/7/2022,48845,1469,360,2,1.66,NA,NA,NA,NA,NA,NA,NA,tests performed,591452,317299,260515,NA,NA,105.26,56.47,46.36,NA,561901,135.58,6222.554
40,Cayman Islands,2/3/2022,15934,2146,15,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,66498,256.496,49903.029
